EXP_ACCURACY
datasets/Original/adult.csv

classifier			target_attr	syn_acc	syn_pre	syn_recall	syn_f1	auroc	auprc
MLPClassifier	occupation	0.79	0.14	0.10	0.12	0.52	0.15
average	occupation	0.78	0.14	0.12	0.12	0.52	0.15

classifier			target_attr	syn_acc	syn_pre	syn_recall	syn_f1	auroc	auprc
LogisticRegression	relationship	0.90	0.49	0.24	0.32	0.86	0.39
AdaBoostClassifier	relationship	0.89	0.43	0.32	0.37	0.85	0.35
GradientBoostingClassifier	relationship	0.88	0.38	0.27	0.31	0.85	0.34
XGBClassifier	relationship	0.88	0.30	0.17	0.22	0.80	0.29
RandomForestClassifier	relationship	0.89	0.44	0.17	0.24	0.83	0.32
BernoulliNB	relationship	0.86	0.36	0.51	0.42	0.84	0.35
DecisionTreeClassifier	relationship	0.84	0.27	0.38	0.32	0.63	0.17
BaggingClassifier	relationship	0.88	0.30	0.13	0.18	0.76	0.24
MLPClassifier	relationship	0.88	0.40	0.36	0.38	0.84	0.33
average	relationship	0.88	0.37	0.28	0.31	0.81	0.31

classifier			target_attr	syn_acc	syn_pre	syn_recall	syn_f1	auroc	auprc
LogisticRegression	race	0.90	0.05	0.01	0.02	0.61	0.12
AdaBoostClassifier	race	0.89	0.08	0.02	0.04	0.57	0.10
GradientBoostingClassifier	race	0.90	0.12	0.03	0.05	0.57	0.11
XGBClassifier	race	0.90	0.00	0.00	0.00	0.58	0.12
RandomForestClassifier	race	0.91	0.00	0.00	0.00	0.58	0.11
BernoulliNB	race	0.85	0.16	0.18	0.17	0.60	0.12
DecisionTreeClassifier	race	0.78	0.08	0.15	0.11	0.50	0.09
BaggingClassifier	race	0.88	0.10	0.05	0.06	0.55	0.10
MLPClassifier	race	0.89	0.20	0.10	0.14	0.64	0.14
average	race	0.88	0.09	0.06	0.07	0.58	0.11

classifier			target_attr	syn_acc	syn_pre	syn_recall	syn_f1	auroc	auprc
LogisticRegression	capital-gain	0.00	0.00	0.00	0.00	0.00	-0.00
AdaBoostClassifier	capital-gain	0.00	0.00	0.00	0.00	0.00	-0.00
GradientBoostingClassifier	capital-gain	0.01	0.00	0.00	0.00	0.00	-0.00
XGBClassifier	capital-gain	0.00	0.00	0.00	0.00	0.00	-0.00
RandomForestClassifier	capital-gain	0.01	0.00	0.00	0.00	0.00	-0.00
BernoulliNB	capital-gain	0.03	0.00	0.00	0.00	0.00	-0.00
DecisionTreeClassifier	capital-gain	0.10	0.00	0.00	0.00	0.00	-0.00
BaggingClassifier	capital-gain	0.06	0.00	0.00	0.00	0.00	-0.00
MLPClassifier	capital-gain	0.03	0.00	0.00	0.00	0.00	-0.00
average	capital-gain	0.03	0.00	0.00	0.00	0.00	0.00

classifier			target_attr	syn_acc	syn_pre	syn_recall	syn_f1	auroc	auprc
LogisticRegression	capital-loss	0.95	0.95	1.00	0.97	0.57	0.95
AdaBoostClassifier	capital-loss	0.95	0.95	1.00	0.97	0.54	0.95
GradientBoostingClassifier	capital-loss	0.95	0.95	1.00	0.97	0.55	0.96
XGBClassifier	capital-loss	0.95	0.95	1.00	0.97	0.53	0.95
RandomForestClassifier	capital-loss	0.95	0.95	1.00	0.97	0.55	0.95
BernoulliNB	capital-loss	0.94	0.95	0.99	0.97	0.62	0.97
DecisionTreeClassifier	capital-loss	0.93	0.95	0.98	0.96	0.50	0.95
BaggingClassifier	capital-loss	0.95	0.95	1.00	0.97	0.50	0.95
MLPClassifier	capital-loss	0.95	0.95	1.00	0.97	0.42	0.93
average	capital-loss	0.94	0.95	1.00	0.97	0.53	0.95

classifier			target_attr	syn_acc	syn_pre	syn_recall	syn_f1	auroc	auprc
LogisticRegression	hours-per-week	0.76	0.79	0.93	0.86	0.63	0.84
AdaBoostClassifier	hours-per-week	0.74	0.79	0.92	0.85	0.59	0.83
GradientBoostingClassifier	hours-per-week	0.75	0.79	0.92	0.85	0.60	0.84
XGBClassifier	hours-per-week	0.76	0.79	0.94	0.86	0.57	0.82
RandomForestClassifier	hours-per-week	0.74	0.79	0.92	0.85	0.59	0.84
BernoulliNB	hours-per-week	0.68	0.80	0.79	0.79	0.64	0.85
DecisionTreeClassifier	hours-per-week	0.67	0.79	0.79	0.79	0.52	0.78
BaggingClassifier	hours-per-week	0.66	0.78	0.79	0.78	0.56	0.81
MLPClassifier	hours-per-week	0.72	0.79	0.88	0.83	0.58	0.82
average	hours-per-week	0.72	0.79	0.87	0.83	0.59	0.83

classifier			target_attr	syn_acc	syn_pre	syn_recall	syn_f1	auroc	auprc
LogisticRegression	native-country	0.83	0.86	0.96	0.91	0.58	0.88
AdaBoostClassifier	native-country	0.85	0.86	0.98	0.92	0.52	0.85
GradientBoostingClassifier	native-country	0.85	0.87	0.97	0.92	0.57	0.88
XGBClassifier	native-country	0.85	0.86	0.98	0.92	0.56	0.88
RandomForestClassifier	native-country	0.84	0.86	0.97	0.91	0.58	0.89
BernoulliNB	native-country	0.84	0.86	0.97	0.91	0.57	0.88
DecisionTreeClassifier	native-country	0.82	0.87	0.94	0.90	0.54	0.87
BaggingClassifier	native-country	0.82	0.86	0.95	0.90	0.55	0.87
MLPClassifier	native-country	0.83	0.86	0.96	0.91	0.52	0.87
average	native-country	0.84	0.86	0.96	0.91	0.55	0.87


